loc,text,label
37,"many compilers for many programming languages are bootstrapped , including compilers for basic , algol , c , pascal , pl/i , factor , haskell , modula-2 , oberon , ocaml , common lisp , scheme , java , python , scala , nimrod , eiffel , and more .",1
24,"soekarno -- hatta international airport ( ) , abbreviated shia , is the main airport serving the greater jakarta area on the island of java , indonesia , along with halim perdanakusuma airport .",0
9,it was created adding a new series of api java to mheg 's sixth version .,1
9,"it is found in sri lanka , borneo , java and sulawesi .",0
9,"the sixth generation product , bbj , developed in java , is available for microsoft windows , unix / linux , and mac os x .",1
14,"the second and more recent main branch of malays , believed to come from java and the banjarmasin kingdom of southern borneo , came by way of the sulu archipelago , into mindanao and up into the visayas .",0
24,"( ) : world war ii : the seaplane tender and aircraft transport was bombed by japanese aircraft in the indian ocean south of java , dutch east indies with the loss of 16 of her 468 crew .",0
91,"he is known for designing and implementing the rexx programming language ( published in ibm systems journal in 1984 ) and the netrexx programming language ( 1996 -- 1997 ) , his work on color perception and image processing ( 1982 -- 1985 ) , the stet folding editor ( 1977 ) , the lexx live parsing editor ( 1985 , possibly the first editor with color highlighting ) for the oxford english dictionary , electronic publishing , sgml applications , , the ibm jargon file ( ) through 1990 , java - related languages , the acorn system 1 , , and decimal arithmetic .",1
28,"the c++11 standard adopted in august 2011 amended the grammar so that a right-shift token is accepted as synonymous with a pair of right-angle brackets ( as in java ) , which complicates the grammar but allows the continued use of the maximal munch principle .",1
7,"pig latin abstracts the programming from the java mapreduce idiom into a notation which makes mapreduce programming high level , similar to that of sql for rdbms systems .",1
31,"since mgsi is a web service protocol , any programming language that has a soap or xml-rpc library available can be used to interface with it , although commonly c++ , java , perl , and php are used .",1
5,s. inconspicuum is endemic to java and is one of the few stylidium species that are not native to australia .,0
33,"altogether 150 ryukian ships are recorded between the kingdom and southeast asia , 61 of them for annam ( viet nam ) , 10 for malacca , 10 for pattani , 8 for java etc. .",0
14,"outside the indian subcontinent , in indonesia , a version was developed in ancient java as kakawin bhāratayuddha in the 11th century under the patronage of king dharmawangsa ( 990-1016 ) , and later it spread to neighboring island of bali where today remains a hindu majority island , despite today indonesia is the most populous muslim majority nation .",0
48,"in general , the muslim community can be categorized in terms of two orientations : '' modernists , '' who closely adhere to orthodox theology while embracing modern learning ; and '' traditionalists , '' who tend to follow the interpretations of local religious leaders ( predominantly in java ) and religious teachers at islamic boarding schools ( pesantren ) .",0
17,"the ten countries or trading ports are china , korea , siam , malacca , palembang , java , sumatra , pattani , and sunda kelapa ( jakarta ) .",0
13,"mccabe had arranged for the gazelle to take o'reilly only as far as java , but adverse weather prevented the ship 's finding safe passage through the sunda strait .",0
18,"the genus ' type species , described by carl ludwig blume in 1825 , is dendrochilum aurantiacum of java and sumatra .",0
5,in 1825 he traveled to java with salomon müller in order to collect specimens for the museum .,0
13,atlas is a chart/map support for flightgear ; kelpie flight planner is a java based flight planner for flightgear .,1
14,"it is found in north-eastern india , peninsular malaysia , sumatra , borneo , java and bali .",0
36,"js , ocaml , pascal , pdf , perl , php , postscript , prolog , scala , scheme , sed , smalltalk , tcl , tecs , text , whitespace , c , c++ , java , python , c# , go , haskell , ocaml , f# , ruby , icon , intercal and pike .",1
6,"it is found on sumatra , java and peninsular malaysia .",0
22,"his expertise in airbase construction led to johns being sent to the south west pacific as chief engineer , american forces in java .",0
19,johan george betrem ( 1899 in the hague 1980 ) was a dutch entomologist and phytopathologist who worked in java from 1930 1945 .,0
30,"this approach ( '' boolean is a separate built-in primitive data type '' ) was adopted by many later programming languages , such as algol 68 ( 1970 ) , java , and c# .",1
11,"this species is widespread in india , myanmar , malaysia , java , sumatra and borneo .",0
35,"range the butterfly is found in sri lanka , india , myanmar , thailand , laos , hainan , hong kong , western china , malaysia , the indonesia archipelago ( borneo , sumatra , java , nias , sumbawa and bali ) , philippines and sulawesi .",0
12,"the c programming language ( and many related languages like c++ , java or scala ) uses apostrophes to delimit a character constant .",1
7,"a rewrite of the torchat protocol in java was created in the beginning of 2012 , called on google code .",1
5,"this includes the rest of java island , madura , bali , as well as dharmasraya , pagaruyung , lampung and palembang in sumatra .",0
3,"being based on java , it is portable and can both be run locally and as an applet .",1
4,fitnesse is written in java ( by robert c. martin and others ) .,1
5,sahi open-source is written in java and javascript and hosted on sourceforge since october 2005 .,1
1,"in java and borneo , the introduction of indian culture created a demand for aromatics , and trading posts here later served chinese and arab markets .",0
23,"it covers an area of 136.7 km ² in the indian ocean about 2,360 km north-west of perth and 500 km south of java in indonesia .",0
0,java source code for the '' google wave federation prototype server '' was released in a mercurial repository in july 2009 under the apache license 2.0 .,1
9,runetek -- a proprietary 3d game engine written in java by jagex for use in runescape .,0
11,"it is an object-relational mapping ( orm ) solution for the java language , which simplifies storing objects in databases .",1
3,"javapos is for java what opos is for windows , and thus largely platform independent .",1
12,"ruby 's standard library includes a bigdecimal class in the module bigdecimal java 's standard library includes a class in objective-c , the cocoa and gnustep apis provide an class and an c datatype for representing decimals whose mantissa is up to 38 digits long , and exponent is from -128 to 127 .",1
3,"pdf studio is java - based and runs on windows , mac , linux , solaris and aix .",1
9,no. 2 squadron also planned attacks on targets in java and practiced strikes against indonesia .,0
18,"this misconception has led to claims that comment-extraction tools , such as the perl plain old documentation or java javadoc systems , are '' literate programming tools '' .",1
14,"acrocercops barringtoniella is a moth of the gracillariidae family , known from india and java , indonesia .",0
17,"there are also significant populations on the island of lombok , and in the eastern-most regions of java ( e.g. the municipality of banyuwangi ) .",0
5,"the islands of sumatra and java in western indonesia were the seat of the empire of sri vijaya ( 8th-13th century ) , which came to dominate most of the area around the southeast asian peninsula through maritime power .",0
15,ibm urges customers to migrate their often highly complex applications to e-business technologies such as java in a platform-neutral manner .,1
5,"it was originally written in java the current live version , gump 3 , has been completely rewritten in python .",1
20,"it continued to attack japanese bases in malaya and convoys in the dutch east indies , relocating to semplak , java , in mid-february .",0
59,"languages known sublime text understands the syntax of a number of different programming language and is able to highlight syntax for actionscript , applescript , asp , batch files , c , c++ , c# , clojure , css , d , diff , erlang , go , graphviz ( dot ) , groovy , haskell , html , java , jsp , javascript , json , latex , lisp , lua , makefiles , markdown , matlab , objective-c , ocaml , perl , php , python , r , rails , regular expressions , restructuredtext , ruby , scala , shell scripts ( bash ) , sql , tcl , textile , xml , xsl , and yaml .",1
24,"beginning on 17 december , the surviving b-17s based there began to be evacuated to australia , then were sent to singosari airfield , java on 30 december 1941 .",0
20,"there are wddx interfaces for a wide variety of languages , including coldfusion , ruby , python , php , java , c++ , .net , actionscript , lisp , haskell , perl .",1
13,"sepatan timur is a district located in the tangerang regency of banten in java , indonesia .",0
19,"with his family , he runs an islamic school ( pesantren ) , and is a well-known export of java folk arts , and a consultant for the regional office of the indonesian ministry of culture and education .",0
20,both specimens are deposited at the bogor botanical gardens ( formerly the herbarium of the buitenzorg botanic gardens ) in java .,0
2,it supports java applications .,1
25,"the subspecies varanus bengalensis nebulosus , the clouded monitor , occurs in southern burma , vietnam , cambodia , thailand , malaysia , sumatra , java and the sunda islands .",0
13,"in 1850 chilo sacchariphagus sacchariphagus had been introduced in sugar cane setts from java to mauritius , around 1855 also to the neighbouring island réunion .",0
12,", china , japan , thailand , new guinea , borneo , java and sulawesi .",0
26,"interested in craftsmanship , weaving and the role of women in cottage industries , dunham 's research focused on women 's work on the island of java and blacksmithing in indonesia .",0
3,xmlbeans is a java - to - xml binding framework which is part of the apache software foundation xml project .,1
9,the bonang is a musical instrument used in the java gamelan .,0
12,by the 14th century po-ni also fell under the influence of the java majapahit empire .,0
22,reinwardt was the founder ( 1817 ) and first director of agriculture of the botanic garden at bogor ( buitenzorg ) in java .,0
25,"terralib is implemented as a library of c++ classes and functions , written in ansi - c + + , and has programming interfaces in java and visual basic .",1
4,umlet is an open-source java - based uml tool designed for teaching the unified modeling language and for quickly creating uml diagrams .,1
13,"tsd files for several programming languages and libraries ( c , delphi , java , blitzbasic , etc. ) .",1
16,"once the most widespread of asian rhinoceroses , the sunda rhinoceros ranged from the islands of java and sumatra , throughout southeast asia , and into india and china .",0
26,"- china , taiwan , bangladesh , india , bhutan , pakistan , sri lanka , cambodia , laos , burma , thailand , vietnam , java , malaysia catunaregam stenocarpa bridson - mozambique catunaregam swynnertonii ( s.moore ) bridson - mozambique , zimbabwe catunaregam taylorii ( s.moore ) bridson - d.r.congo , tanzania , malawi , zambia , zimbabwe , swaziland , transvaal catunaregam tomentosa ( blume ex dc. ) tirveng .",0
20,"parischnogaster nigricans serrei is a hover wasp species in the family vespidae , and it is predominantly found in the java region of indonesia .",0
12,"although they share a similar name , the kacapi of sunda on java is a zither , and not a lute .",0
20,"karaoke on mobile phones in 2003 , several companies started offering a karaoke service on mobile phones , using a java midlet that runs with a text file containing the words and a midi file with the music .",1
34,"infection a vundo infection is typically caused either by opening an e-mail attachment carrying the trojan , or through a variety of browser exploit , including vulnerabilities in popular browser plug-ins , such as java .",1
9,"assembly - intel x86 ansi c c# d delphi java pascal python visual basic visual basic .net visual c++ grammars gold grammars are based directly on backus-naur form , regular expression , and set notation .",1
13,"they are significant in number in countries such as bangladesh , indonesia , java , sumatra and bali mainly carried by sadhaba , the ancient traders from odisha who carried the language along with the culture during the old day trading , and in the western countries such as the united states , canada , australia and england .",0
19,"the indonesian mountain weasel ( mustela lutreolina ) is a species of weasel that lives on the islands of java and sumatra in indonesia at elevations over 1,000 metres ( 3,280 ft ) .",0
0,java and bali use xylophones ( called gambang ) in gamelan ensembles .,0
16,"the genus is found from thailand , myanmar ( burma ) , laos , vietnam , java and sumatra .",0
13,"the plant is indigenous to malaysia , but also found in sumatera , java and borneo .",0
10,"objects are actually references to the objects ( as in java ) which delphi implicitly dereferences , so there is usually no need to manually allocate memory for pointers to objects or use similar techniques needed in some other languages .",1
12,"c++ and languages which derive in style from it ( such as java , c# , d , php , and perl ) generally use this .",1
4,jquantlib is written in java .,1
4,examples aidl : a java - based idl for android that supports local and remote procedure calls .,1
19,"php has a native boolean type , named '' boolean '' , similar to the native boolean types in java and c++ .",1
28,"it is found in afghanistan , nepal , north-eastern india , sri lanka , bangladesh , burma , vietnam , thailand , malaysia , singapore , sumatra , java , borneo , sumba , sulawesi , the philippines , taiwan , china and japan .",0
38,"merge sort has seen a relatively recent surge in popularity for practical implementations , due to its use in the sophisticated algorithm timsort , which is used for the standard sort routine in the programming languages python and java ( as of jdk7 ) .",1
7,"overloaded methods some other languages , like java , do not have default arguments .",1
8,tools users can develop their own applications in java and pl/sql using tools such as : oracle forms oracle jdeveloper oracle reports oracle corporation had started a drive toward '' wizard '' - driven environments with a view to enabling non-programmers to produce simple data-driven applications .,1
11,prova is an open source programming language that combines prolog with java .,1
3,it implements a java technology version of the secure sockets layer ( ssl ) and transport layer security ( tls ) protocol .,1
9,"it is found in thailand , sri lanka , java , borneo and new guinea .",0
6,bindings are developed for python and java and are available as the separate otb-wrapping project .,1
6,"look at the following example from java : public class class1 -lcb- int f ( int x ) -lcb- return x +3 ; -rcb- -rcb- public class class2 extends class1 -lcb- @ override int f ( int x ) / / overriding -lcb- return x \* x ; -rcb- int f ( int x , int y ) / / overloading -lcb- return x \* y ; -rcb- -rcb- special methods special methods are very language-specific and a language may support none , some , or all of the special methods defined here .",1
12,"java-based operating systems given that oracle's ( formerly sun microsystems ' ) java is today one of the most dominant object-oriented languages , it is no surprise that java-based operating systems have been attempted .",1
21,"similar gestures in other countries in indonesia , wai like gestures are in use in various parts of the country , java ( called sembah in the royal courts ) , lombok and bali , where hinduism and buddhism is or has been widely practiced .",0
62,"variation of seismicity with depth across the sunda trench subduction zone , low-angle part is the sunda megathrust -- september 2007 sumatra earthquake shown by star the sunda megathrust is a fault that extends approximately 5,500 km ( 3300 mi ) from myanmar ( burma ) in the north , running along the southwestern side of sumatra , to the south of java and bali before terminating near australia .",0
20,"he was a member of the australian imperial force from 1940 to 1946 and served in sydney , celebes , java and borneo as a lieutenant .",0
2,"like all java apis that interface with host systems , jndi is independent of the underlying implementation .",1
11,"it is found in vietnam , thailand , india , western java and eastern borneo .",0
12,"history jython was initially created in late 1997 to replace c with java for performance-intensive code accessed by python programs , moving to sourceforge in october 2000 .",1
17,the secondary goal is to provide a complete embeddable lisp system linkable to c/c + + or java ( with help of jni ) .,1
16,"technology the company 's ebizframe product is based on oracle technology , middle-tier being provided by java technology .",1
9,"meanwhile , from the peak of mount muria in java , the boy 's father was secretly watching over his son clairvoyantly .",0
7,"examples include the programming languages perl , java and lua .",1
18,users can also access crystal reports from outside of microsoft environments ; this allows ( for instance ) java developers to build applications with crystal reports components .,1
5,"they are usually written in java , but other languages such as jython , jruby , pascal , scala , or eiffel ( via smarteiffel ) may be used as well .",1
4,it is known from java in indonesia .,0
5,ksar is a bsd licensed java based application to create graph of all parameters from the data collected by unix sar utilities .,1
21,theodoor gautier thomas pigeaud ( 20 february 1899 in leipzig -- 6 march 1988 in gouda ) was an expert in java literature from the netherlands .,0
10,february 14 wwii : an anti-japanese revolt breaks out on java .,0
6,"in the court tradition of central java , gamelan is often played in the pendopo , an open pavilion with a cavernous , double-pitched roof , no side walls , and a hard marble or tile floor .",0
8,"it is found in japan , taiwan , java , india , china and the caucasus .",0
4,"many engines use a java - like syntax , while some allow the definition of custom business-friendly languages .",1
13,mangkunegara sixth bring a new milestone in the system of royal succession in java .,0
7,sun microsystems 's multiple schema validator for java also provides relax ng support .,1
14,"however , many manifestly typed languages support partial type inference ; for example , java and c# both infer types in certain limited cases .",1
33,"balaputra was mentioned as the son of samaragrawira , grandson of śailendravamsatilaka ( the jewel of śailendra family ) with stylized name śrīviravairimathana ( the slayer of enemy hero ) , king of java that married tārā , daughter of dharmasetu .",0
14,"distribution and habitat it lives on the malay peninsula , borneo , sumatra and java .",0
3,"features supports : java , c / c++ , objective-c , c# , php , flex , groovy , javascript , python , pl/sql , cobol , etc. ( note that some of them are commercial ) can also be used in android development .",1
16,this is similar to the public and private keywords in other languages such as c++ and java .,1
4,"the ship sailed for java in october 1628 as part of a flotilla commanded by commandeur francisco pelsaert , and arrived safely in the banda strait in july 1629 .",0
7,teashark is a mobile web browser for java midp 2.0 .,1
6,one project which focuses on the java platform is called jport and is accessible from the web site .,1
27,"code used citeulike is written in tcl , with user contributed plugins in python , perl , ruby and tcl ; some additional modules are written in java ; data is stored using postgresql there is no api but plugins can be contributed using subversion .",1
10,"pameungpeuk is a small town near the coast of southwestern java , indonesia .",0
7,"in indonesia , most henghua live in java and since long have been known for their businesses that mainly related with bicycle and transportation vehicles .",0
32,"it was described by ragonot in 1888 , and is known from india , papua new guinea , malaysia ( sarawak ) , taiwan , china , the moluccas , indonesia ( java , borneo ) and japan .",0
14,"uses doxygen can be used with c , c++ , c# , fortran , java , objective-c , php , python , idl ( corba , tcl and microsoft flavors ) , vhdl , and to some extent d .",1
27,"these aircraft flew between britain and egypt ( with an extensive detour around spain over the atlantic ) , and they were used in the evacuation of java in the east indies .",0
5,"when they reached samarang , java , the matavai and her crew were there .",0
5,"kosmo was implemented using the java programming language and is being developed from the jump gis platform and a series of free code libraries , all of which are well acknowledged and widely used in different free software projects ( for example , geotools and jts ) .",1
4,it is found on java and fiji .,0
16,"in march 1942 , kaga , based out of staring-baai , helped cover the invasion of java , although her only contribution appears to have been aircraft for the 5 march 1942 airstrike on tjilatjap .",0
3,tasman served the java -- south africa route until transferred to the south pacific new zealand - sydney service .,0
19,"in static program analysis , soot is a language manipulation and optimization framework consisting of intermediate language for the java programming language .",1
10,microsoft liquid motion was a product from microsoft to create java animations .,1
55,"june 4 -- 21 led by the american zoologist and philanthropist richard archbold and carrying australian patrick gordon taylor as navigator , the pby-2 catalina flying boat guba ii makes the first flight across the indian ocean in history , flying from port hedland , australia , to mombasa , kenya , via batavia , java ; the cocos ( keeling ) islands ; diego garcia ; and the seychelles .",0
40,"although many u.s. airports use the same three-letter location identifier for the faa and iata , this airport is assigned cxp by the faa and csn by the iata ( which assigned cxp to tunggul wulung airport in cilacap , java , indonesia ) .",0
4,it is written in java and currently is under active development .,1
20,"usage in programming languages this usage follows from design choices embedded in many influential programming language , including c , java , and lisp .",1
4,it was written in java .,1
32,"easydita 's browser-based topic authoring interface , its component content manager and ditamap editor , its review and versioning systems , and its publishing system , all make use of xquery , java , and javascript , using the rest , webdav , and xmlrpc protocols .",1
3,xito is a java based portable desktop environment .,1
10,"between 1817 and 1818 , he described a number of java bird species discovered by jean baptiste leschenault de la tour ; he also contributed articles on ornithology to the dictionnaire des sciences naturelles , edited and published from 1816 -- 1830 by f. g. levrault .",0
19,"the company soon established its first trading post in the east indies , at bantam on the island of java , and others , beginning with surat , on the coasts of what is now india and bangladesh .",0
19,"it supports cgi , frames and other languages beside html , for instance php , perl , c++ , java , and javascript development .",1
15,"programming languages such as perl , python , php , ruby , c# , and java support template processing either natively , or through add-on libraries and modules .",1
30,"submodule fortran 90+ : use module , use module , only : identifier go : import altname '' package/name '' haskell : import module , import qualified module as m java , matlab : import package .",1
1,"in java , the qualifier final states that the affected data member or variable is not assignable , as below : final int i = 3 ; i = 4 ; / / error !",1
36,"in this period , the national botanical gardens , lucknow ( india ) , became one of the world 's five best botanical gardens , along with the botanical gardens at kew ( england ) , java ( indonesia ) , paris ( france ) and new york ( usa ) .",0
12,"juzu web is an open source web application framework , written in java , which follows the model–view–controller ( mvc ) architectural pattern .",1
11,"problems may be written in c , c++ , fortran , java , or python , in which case knitro is called as a software routine to solve the problem .",1
21,"simula was the first object-oriented programming language , and its classes are nearly identical to the modern concept as used in java , c++ , and c# .",1
27,"sunan kudus ( or ja ` far shadiq , died 1550 ) , founder of kudus , is considered to be one of the wali sanga of java , indonesia he is said to have originated the wayang golek , and founded the masjid at kudus using ( it is said ) the doors from the palace of majapahit .",0
22,"after stopping at funchal , madeira islands ; porto praya ; and simonstown , false bay ; the expedition arrived batavia , java , 12 december .",0
1,"in java , goto is a reserved word , but is unusable , although the compiled file .",1
1,the java implementation of sax is considered to be normative .,1
26,upstream tracker is a web service providing analysis of api changes from the backward compatibility point of view for a variety of c / c++ and java libraries .,1
27,"this is infrequently seen in modern code , but occurs in some uses of c. resource management without raii the dispose pattern many garbage-collected languages , including java , c# and python , support various forms of the dispose pattern to simplify cleanup of resources .",1
7,demak established as first islamic sultanate of java .,0
19,"the hardware can be controlled by external programs written in c , c++ , c# , object pascal , java , perl , php , python , ruby , shell and vb.net over a usb , wifi or ethernet connection , and running on windows , linux and mac os x .",1
11,"if a language supports automatic garbage collection ( for instance , java or c# ) , then smart pointers are not needed for the reclamation and safety aspects of memory management , but are nevertheless useful for other purposes , such as cache data structure residence management and resource management of objects such as file handle or network socket .",1
6,"though a voyage from holland to java ( port to port ) normally took a 100 days or more , the kosmopoliet completed her maiden voyage in 89 days .",0
6,"the game is written entirely in java with graphics based on swing ( an awt interface also exists , but it 's not updated with the newest features ) , resulting in reasonable playability even on low-end platforms .",1
8,: rewrite/re-implementation/port of the zlib encoder into pure java and distributed under a bsd license .,1
13,srp-6a implementation in ruby srp-6a implementation in php and javascript srp-6a implementation in java and javascript which uses on the server .,1
9,"some were then dispersed by sea to columbo , java , and australia .",0
23,a recent integrated development environment that supports ssp is cocovila a model-based software development platform for implementing domain specific languages and developing large java programs .,1
27,"the spoonsnouted catfish ( cryptarius truncatus ) is a species of sea catfish from estuaries and lower courses of rivers from the chao phraya to sumatra and java , including the lower mekong .",0
30,"common names in other languages and regions include petai hutan in borneo , yongchak in manipur , india , nitta tree and riang in thailand , kedawung and peundung in java , alai in sumatra , petai kerayong and batai hutan in malaysia , and kupang and amarang in the philippines .",0
15,these fronds may be up to 9 meters long in the species angiopteris teysmanniana of java .,0
9,"syntactically and semantically xtend has its roots in the java programming language but focuses on a more concise syntax and some additional functionality such as type inference , extension method , and operator overloading .",1
10,"in september 1605 , he left for bantam in west java -- which the voc had established as its first permanent trading in 1603 -- so that the duyfken could be fitted out and supplied for its voyage .",0
29,"server software , including : web applications , which usually run on the web server and output dynamically generated web pages to web browsers , using e.g. php , java or asp.net , or even javascript that runs on the server .",1
10,"before the 16th century , pepper was being grown in java , sunda , sumatra , madagascar , malaysia , and everywhere in southeast asia .",0
20,"in malacca and cochin he avidly collected and documented information from the malay - indonesia area , and personally visited java , sumatra ( the two dominant islands of modern-day indonesia ) and maluku .",0
1,"besides java and chinese girls brought in from the far east , '' red '' ( non-negroid ) ethiopian young females were among the most valued concubines .",0
24,"it is found in south-east asia , where it has been recorded from india , sri lanka , china , thailand , malaysia , java , bali , borneo , the philippines and taiwan .",0
43,"use in computer systems in computers , some examples of usually case-sensitive data are : username password filename tags commands variable names searching for a text string within electronic text some computer languages are case-sensitive for their identifiers ( c , c++ , java , c# , verilog , ruby and xml ) .",1
16,"on 3 march 1942 , maya was present at the sinking of the gunboat south of java .",0
6,"the mataram held considerable power in java , yet it submitted to the dutch .",0
8,"this form of mosque architecture is common in java , sundanese , and malay cultural sphere in indonesia and malaysia .",0
14,"they can usually support intensive cropping , with areas used for wet rice in java supporting some of the densest populations in the world .",0
13,it is used to construct rich internet application ( ria ) using the java programming language .,1
15,origin the term '' hyang '' now widely associated with balinese hinduism developed in ancient java and bali for more than a millennia ago .,0
15,gremlin is a domain-specific language hosted in groovy language which itself is a superset of java .,1
14,db4o ( database for objects ) is an embeddable open source object database for java and .net developers .,1
17,"despite being warned of an imminent uprising by chinese lieutenant que yonko , the military commander for java , bartholomeus visscher , dismissed the threat of the incoming chinese .",0
8,"c99 , c++ , c# , php , java , and javascript also have comments that begin with / / ( two slashes ) and span a single line .",1
1,"in java and most of indonesia , ikan bakar usually tastes rather sweet because the generous amount of sweet soy sauce either as marination or dipping sauce .",0
29,"software for software developers , brew mp is a full set of application programming interface ( api ) that enables making software and applications in c , c++ , java , and is supported ( platform ) by an application-specific integrated circuit ( asic ) .",1
4,apache jelly is a java and xml based scripting and processing engine for turning xml into executable code .,1
4,it is written in java and thus platform independent .,1
27,"the history of mataram area as the of heartland of central javanese medang kingdom , is also part of the historical yawadvipa or bhumijava ( land of java ) , and the whole classical javanese civilization .",0
17,"elvy sukaesih ( born june 25 , 1951 ) is one of the most popular singers in java , indonesia , and has been dubbed the queen of dangdut .",0
21,"there are currently about 20,000 cuban doctors working in 68 countries across three continents , including a 135-strong medical team in java , indonesia .",0
14,"on 25 february , the third battleship division provided cover for air attacks on java .",0
2,jmol requires java installation and operates on a wide variety of platforms .,1
16,"despite the large and dwarf forms , four subspecies are known : g. v. variegatus ( java ) , g. v. temminckii ( sumatra ) , g. v. borneanus ( borneo ) , and g. v. peninsulae ( peninsular malaysia and mainland of southeast asia ) incorporating on the genetic species concept due to geographic isolation and genetic divergence .",0
24,"lisa is a production-rule system implemented in the common lisp object system ( clos ) , and is heavily influenced by clips and the java expert system shell ( jess ) .",1
20,"llvm llvm can translate from any language supported by gcc 4.2.1 ( ada , c , c++ , fortran , java , objective-c , or objective-c++ ) or by clang to any of : c , c + + , or msil by way of the '' arch '' command in llvm-gcc .",1
14,"it is found in australia and south-east asia , including borneo , sulawesi , java and malaysia .",0
22,"the idea was to design technology based on a profile that included diskless computers , commonly coded applications using languages such as java , and interface with the internet using common software such as netscape navigator .",1
16,"it was re-equipped with pby catalina in 1941 before being withdrawn from singapore and relocated to java , leaving three aircraft at selatar air base .",0
22,"lepus3 is an object-oriented visual design description language and a formal specification language that is suitable primarily for modelling large object-oriented ( java , c++ , c# ) programs and design patterns .",1
10,"many bindings to it exist for programming languages such as java , matlab and r .",1
50,"arithmetic operators comparison operators/relational operators logical operators bitwise operators compound assignment operators member and pointer operators other operators notes : operator precedence the following is a table that lists the precedence and associativity of all the operators in the c and c++ languages ( when the operators also exist in java , perl , php and many other recent languages , the precedence is the same as that given ) .",1
17,"it contains only one species , peribona venosa , which is found in the himalaya and on java .",0
11,"hudson is a continuous integration ( ci ) tool written in java , which runs in a servlet container , such as apache tomcat or the glassfish application server .",1
13,"where procedural programming is necessary , it can be done in c , java and jpl , a user-friendly 4gl scripting language .",1
